
mysql> select * from phrase_attempts;
+------+-----------+---------------------+------------------+
| id   | phrase_id | created_on          | correct          |
|  421 |         6 | 2025-02-15 22:15:21 | 0x01             |
|  422 |        81 | 2025-02-15 22:15:23 | 0x01             |
|  423 |       339 | 2025-02-15 22:15:44 | 0x00             |
|  424 |       303 | 2025-02-15 22:15:59 | 0x01             |
|  425 |       231 | 2025-02-15 22:16:10 | 0x01             |
|  426 |       274 | 2025-02-15 22:16:15 | 0x01             |
|  427 |       149 | 2025-02-15 22:16:26 | 0x01             |
|  428 |       317 | 2025-02-15 22:16:38 | 0x01             |
|  429 |        15 | 2025-02-15 22:16:41 | 0x01             |
|  430 |       317 | 2025-02-15 22:16:56 | 0x01             |
|  431 |       339 | 2025-02-15 22:17:11 | 0x00             |
|  432 |       117 | 2025-02-15 22:17:45 | 0x00             |
|  433 |       274 | 2025-02-15 22:17:49 | 0x01             |
|  434 |       231 | 2025-02-15 22:17:55 | 0x01             |
|  435 |         8 | 2025-02-15 22:17:57 | 0x01             |
|  436 |        14 | 2025-02-15 22:18:08 | 0x01             |
|  437 |       339 | 2025-02-16 08:01:47 | 0x01             |
|  438 |       225 | 2025-02-16 08:57:55 | 0x01             |
|  439 |       149 | 2025-02-16 09:51:39 | 0x01             |
|  440 |       231 | 2025-02-16 09:54:10 | 0x01             |
|  441 |        17 | 2025-02-16 09:54:12 | 0x01             |
|  442 |        28 | 2025-02-16 10:10:58 | 0x01             |
|  443 |       408 | 2025-02-16 10:11:03 | 0x01             |
|  444 |       310 | 2025-02-16 10:11:14 | 0x00             |
|  445 |       117 | 2025-02-16 10:11:27 | 0x00             |
|  446 |       303 | 2025-02-16 10:11:34 | 0x01             |
|  447 |        16 | 2025-02-16 10:11:38 | 0x01             |
|  448 |        38 | 2025-02-16 10:13:20 | 0x00             |
|  449 |        16 | 2025-02-16 10:13:23 | 0x01             |
|  450 |       149 | 2025-02-16 10:13:27 | 0x01             |
|  451 |       121 | 2025-02-16 10:13:29 | 0x01             |
|  452 |       231 | 2025-02-16 10:13:32 | 0x01             |
|  453 |        11 | 2025-02-16 10:13:39 | 0x01             |
|  454 |       231 | 2025-02-16 10:13:43 | 0x01             |
|  455 |       408 | 2025-02-16 10:13:45 | 0x01             |
|  456 |        27 | 2025-02-16 10:14:49 | 0x01             |
|  457 |       274 | 2025-02-16 10:14:55 | 0x01             |
|  458 |       310 | 2025-02-16 10:15:01 | 0x01             |
|  459 |       117 | 2025-02-16 10:15:12 | 0x00             |
|  460 |       231 | 2025-02-16 10:15:21 | 0x01             |
|  461 |       310 | 2025-02-16 12:44:09 | 0x01             |
|  462 |       121 | 2025-02-16 12:44:11 | 0x01             |
|  463 |       339 | 2025-02-16 12:44:47 | 0x00             |
|  464 |       469 | 2025-02-16 12:56:59 | 0x00             |
|  465 |        17 | 2025-02-16 12:57:03 | 0x01             |
|  466 |       231 | 2025-02-16 12:57:12 | 0x01             |
|  467 |       149 | 2025-02-16 12:57:15 | 0x01             |
|  468 |        28 | 2025-02-16 12:57:18 | 0x01             |
|  469 |         9 | 2025-02-16 12:57:22 | 0x01             |
|  470 |       225 | 2025-02-16 12:57:27 | 0x01             |
|  471 |       317 | 2025-02-16 12:57:37 | 0x01             |
